fileName,score,molFrom,algorithm,runTime,workers,disp,mini_iter,iter,b,m,batch,type,T
83699.mol,53.207729628695844,leastNAD+.mol,minimize,8.974980592727661,,,,,,,molSizeTiming,,
87654.mol,63.93874397043783,evenLessNAD+.mol,minimize,6.250267028808594,,,,,,,molSizeTiming,,
90645.mol,-223.72925860176008,lessNAD+.mol,minimize,10.48707914352417,,,,,,,molSizeTiming,,
92863.mol,39.526998036478815,leastNAD+.mol,minimize,9.150877475738525,,,,,,,molSizeTiming,,
94078.mol,78.69571097566197,evenLessNAD+.mol,minimize,6.418266534805298,,,,,,,molSizeTiming,,
97757.mol,-228.78606208117642,lessNAD+.mol,minimize,7.107406139373779,,,,,,,molSizeTiming,,
98031.mol,41.58709203183227,leastNAD+.mol,minimize,5.160735845565796,,,,,,,molSizeTiming,,
99296.mol,729.7659749553065,evenLessNAD+.mol,minimize,5.209463596343994,,,,,,,molSizeTiming,,
4206.mol,56.97669625614304,leastNAD+.mol,minimize,6.162058353424072,,,,,,,molSizeTiming,,
6071.mol,-234.07090394490592,lessNAD+.mol,minimize,8.308820724487305,,,,,,,molSizeTiming,,
6431.mol,51.30055320858456,evenLessNAD+.mol,minimize,7.12133526802063,,,,,,,molSizeTiming,,
11107.mol,58.31136999984786,leastNAD+.mol,minimize,6.894496440887451,,,,,,,molSizeTiming,,
13491.mol,131.16334441750817,evenLessNAD+.mol,minimize,7.052622079849243,,,,,,,molSizeTiming,,
14786.mol,-251.72292575586013,lessNAD+.mol,minimize,8.709747314453125,,,,,,,molSizeTiming,,
18112.mol,39.48452373488742,leastNAD+.mol,minimize,6.998053550720215,,,,,,,molSizeTiming,,
20051.mol,50.59131396476012,evenLessNAD+.mol,minimize,6.5480475425720215,,,,,,,molSizeTiming,,
21044.mol,-227.48569799171167,lessNAD+.mol,minimize,6.251782655715942,,,,,,,molSizeTiming,,
25190.mol,57.8643575932745,evenLessNAD+.mol,minimize,5.133239269256592,,,,,,,molSizeTiming,,
26099.mol,42.567410599572426,leastNAD+.mol,minimize,7.9792773723602295,,,,,,,molSizeTiming,,
31922.mol,-246.43541713211133,lessNAD+.mol,minimize,10.866366624832153,,,,,,,molSizeTiming,,
32043.mol,42.17876330348346,leastNAD+.mol,minimize,5.9308414459228525,,,,,,,molSizeTiming,,
33041.mol,49.83088776403032,evenLessNAD+.mol,minimize,7.83748722076416,,,,,,,molSizeTiming,,
38389.mol,41.16500318675866,leastNAD+.mol,minimize,6.341344833374023,,,,,,,molSizeTiming,,
39648.mol,51.26169104404596,evenLessNAD+.mol,minimize,6.5930914878845215,,,,,,,molSizeTiming,,
44016.mol,-242.88510330272965,lessNAD+.mol,minimize,12.0820951461792,,,,,,,molSizeTiming,,
47100.mol,41.0545125844407,leastNAD+.mol,minimize,8.69967532157898,,,,,,,molSizeTiming,,
48275.mol,48.34446424747331,evenLessNAD+.mol,minimize,8.616333723068237,,,,,,,molSizeTiming,,
52074.mol,-137.63388382278893,lessNAD+.mol,minimize,8.05155611038208,,,,,,,molSizeTiming,,
53695.mol,102.1785229009244,evenLessNAD+.mol,minimize,5.41303825378418,,,,,,,molSizeTiming,,
53767.mol,49.782441229266325,leastNAD+.mol,minimize,6.660384654998779,,,,,,,molSizeTiming,,
58137.mol,105.21635139409479,leastNAD+.mol,minimize,4.347102642059326,,,,,,,molSizeTiming,,
60764.mol,-252.07255931968558,lessNAD+.mol,minimize,8.68308138847351,,,,,,,molSizeTiming,,
61236.mol,57.04911905045107,evenLessNAD+.mol,minimize,7.527589797973633,,,,,,,molSizeTiming,,
62903.mol,60.01076707285901,leastNAD+.mol,minimize,4.758419752120972,,,,,,,molSizeTiming,,
67391.mol,61.72753622537323,evenLessNAD+.mol,minimize,6.147568464279175,,,,,,,molSizeTiming,,
68473.mol,-238.23075200390656,lessNAD+.mol,minimize,7.703097343444824,,,,,,,molSizeTiming,,
70026.mol,50.15371865092081,leastNAD+.mol,minimize,7.108966112136841,,,,,,,molSizeTiming,,
73889.mol,98.21588695500131,leastNAD+.mol,minimize,3.854482650756836,,,,,,,molSizeTiming,,
76661.mol,47.74783080421233,evenLessNAD+.mol,minimize,9.263139247894287,,,,,,,molSizeTiming,,
79947.mol,-256.2536135281862,lessNAD+.mol,minimize,11.462104082107544,,,,,,,molSizeTiming,,
80651.mol,55.937132275069615,leastNAD+.mol,minimize,6.7481629848480225,,,,,,,molSizeTiming,,
83217.mol,77.28041328880808,evenLessNAD+.mol,minimize,6.5425004959106445,,,,,,,molSizeTiming,,
85216.mol,-198.70436785116243,lessNAD+.mol,minimize,5.26343846321106,,,,,,,molSizeTiming,,
